,video_title,duration,viewCount,likeCount,commentCount,publishedAt,video_ids
0,Is the tech bubble bursting right now?,PT3M6S,220897,17966,794,2022-05-09T18:41:50Z,g-_hVXzkn0o
1,Tauri in 100 Seconds,PT2M40S,238369,20868,1084,2022-05-06T13:32:56Z,-X8evddpu7M
2,100+ Computer Science Concepts Explained,PT13M8S,350480,29487,1176,2022-05-04T16:07:06Z,-uleG_Vecis
3,Perl in 100 Seconds,PT2M26S,211088,14175,645,2022-04-29T15:34:43Z,74_7LrRe5DI
4,The Nuxt big thing in web development?,PT4M55S,429691,28299,1757,2022-04-25T16:02:29Z,noq-ZHTD2Cg
5,React for the Haters in 100 Seconds,PT2M34S,468838,41154,2280,2022-04-22T15:54:08Z,HyWYpM_S-2c
6,Redux in 100 Seconds,PT2M33S,236782,14321,723,2022-04-21T15:56:41Z,_shA5Xwe8_4
7,Assembly Language in 100 Seconds,PT2M44S,350235,23375,949,2022-04-14T17:32:09Z,4gwYkEK0gOk
8,The Parallax Effect // 5 Minute WebDev Project,PT5M1S,205684,16446,436,2022-04-13T16:23:31Z,UgIwjLg4ONk
9,Elixir in 100 Seconds,PT2M35S,266712,17461,628,2022-04-08T17:42:35Z,R7t7zca8SyM
10,DALL-E is coming... World-changing AI image generator,PT3M14S,244626,17435,841,2022-04-07T16:33:16Z,alJdw4JDJ4o
11,I built 10 web apps... with 10 different languages,PT14M23S,389291,18729,1384,2022-04-06T16:10:07Z,FQPlEnKav48
12,"client got faded, I got paid",PT35S,261618,18912,752,2022-04-04T16:53:39Z,UA7NSpzG98s
13,Java for the Haters in 100 Seconds,PT2M22S,959608,73749,2907,2022-04-01T14:40:47Z,m4-HM_sCvtQ
14,Cypress in 100 Seconds,PT2M31S,218540,16956,410,2022-03-29T15:44:30Z,BQqzfHQkREo
15,"I use Arch on an M1 MacBook, btw",PT3M5S,325422,20030,881,2022-03-26T18:31:48Z,j_I9nkpovCQ
16,my code worksâ€¦ why?,PT30S,812078,59116,871,2022-03-24T16:54:15Z,9BvBRXkJA58
17,Binary Search Algorithm in 100 Seconds,PT2M20S,189203,21309,1194,2022-03-23T15:17:06Z,MFhxShGxHWc
18,10 very promising Open Source Projects you havenâ€™t heard of,PT5M39S,505707,39698,721,2022-03-21T15:40:17Z,qXUl3VsbA6o
19,Timeâ€¦ a programmer's worst enemy // The Code Report,PT3M6S,274548,19402,769,2022-03-17T16:24:34Z,iMVgvkVJuDI
20,10 Design Patterns Explained in 10 Minutes,PT11M4S,732326,37240,649,2022-03-14T16:53:44Z,tv-_1er1mWI
21,Linux in 100 Seconds,PT2M42S,348537,24812,1354,2022-03-11T16:53:45Z,rrB13utjYV4
22,A heroic new proposal for JavaScript // The Code Report,PT3M,228729,16029,658,2022-03-10T15:50:48Z,O9F4K804XC8
23,React Query in 100 Seconds,PT2M33S,260443,16585,479,2022-03-08T15:59:49Z,novnyCaa7To
24,Unity in 100 Seconds,PT2M45S,414507,29187,1372,2022-03-07T15:17:21Z,iqlH4okiQqg
25,This video was made with code. But how?,PT8M42S,465767,21948,592,2022-03-04T14:58:38Z,deg8bOoziaE
26,"10 React Antipatterns to Avoid - Code This, Not That!",PT8M55S,262397,15926,593,2022-03-01T17:03:24Z,b0IZo2Aho9Y
27,I feel cyber attacked // The Code Report,PT2M52S,194215,15390,753,2022-02-27T15:29:56Z,3OqQhtLwY9o
28,Vite in 100 Seconds,PT2M29S,255141,17685,491,2022-02-23T16:06:53Z,KCrXgy8qtjM
29,The Shocking State of JavaScript // The Code Report,PT3M4S,358492,25152,971,2022-02-19T16:07:51Z,1L2hrG-7i2Y
30,Firebase in 100 Seconds,PT2M35S,239748,14976,425,2022-02-17T14:54:13Z,vAoB4VbhRzM
31,7 ways to deal with CSS,PT6M23S,468413,23969,1183,2022-02-15T16:32:23Z,ouncVBiye_M
32,Lua in 100 Seconds,PT2M24S,615365,41705,1633,2022-02-14T15:27:58Z,jUuqBZwwkQw
33,What happens if you hack 4.5 billion BTC? // The Code Report,PT3M7S,195999,14679,2667,2022-02-10T17:03:31Z,KPyeJ5J2a7A
34,How to Learn to Code - 8 Hard Truths,PT6M46S,593331,49240,1171,2022-02-09T15:45:16Z,NtfbWkxJTHw
35,C++ in 100 Seconds,PT2M46S,484704,27860,1342,2022-02-07T15:34:25Z,MNeX4EGtR5Y
36,BIG new feature lands in Node.js // The Code Report,PT2M52S,246750,17744,618,2022-02-04T17:05:20Z,MBqS1kYzwTc
37,How I post banger tweets with artificial intelligence // Twitter Bot Tutorial,PT9M23S,174786,9274,383,2022-02-03T16:40:04Z,V7LEihbOv3Y
38,How a CS student tracks Elonâ€™s Private Jet with Python // The Code Report,PT2M27S,586581,34337,1208,2022-02-01T17:07:03Z,bJUl3OAIT0k
39,Ruby in 100 Seconds,PT2M37S,339610,19900,620,2022-01-31T16:28:51Z,UYm0kfnRTJk
40,I created a Command Line Game for you // 5-Minute Node.js CLI Project,PT6M25S,307184,11739,679,2022-01-27T17:35:34Z,_oHByo8tiEY
41,Prisma in 100 Seconds,PT2M34S,242329,16503,722,2022-01-26T14:46:39Z,rLRIB6AF2Dg
42,How to buy Stocks with JavaScript // Algo Trading Tutorial for Dummies,PT8M13S,191319,12383,527,2022-01-24T16:22:29Z,BrcugNqRwUs
43,How to Land a 100K/yr Tech Job - 10 Strategies,PT11M17S,396486,31506,988,2022-01-20T16:35:09Z,Xg9ihH15Uto
44,Build a WEB3 app to mint unlimited NFTsâ€¦ But should you?,PT23M25S,295417,12907,640,2022-01-18T16:03:37Z,meTpMP0J5E8
45,JavaScript in 100 Seconds,PT2M36S,343245,24723,746,2022-01-13T17:56:13Z,DHjqpvDnNGE
46,Is Redis the ONLY database you need? // Fullstack app from scratch with Next.js & Redis,PT13M4S,217633,10533,356,2022-01-11T16:15:57Z,DOIWQddRD5M
47,The Dark Side of Open Source // What really happened to Faker.js?,PT3M49S,372980,17145,810,2022-01-07T19:53:11Z,R6S-b_k-ZKY
48,Binary Explained in 01100100 Seconds,PT2M27S,212446,14799,489,2022-01-04T14:57:03Z,zDNaUi2cjv4
49,How to get a Million YouTube Subscribers in 100 Seconds,PT2M45S,194885,27494,1595,2021-12-20T14:29:30Z,j_q0D_jbMk8
50,CSS in 100 Seconds,PT2M20S,208044,14393,489,2021-12-14T16:14:02Z,OEV8gMkCHXQ
51,Monorepos - How the Pros Scale Huge Software Projects // Turborepo vs Nx,PT9M7S,344156,14669,476,2021-12-13T16:14:00Z,9iU_IE6vnJ8
52,Brainf**k in 100 Seconds,PT2M10S,3411592,156836,3097,2021-12-10T14:38:17Z,hdHjjBS4cs8
53,Is Web3 all Hype? Top 10 Web 3.0 Questions & Answers,PT9M29S,554563,29692,1626,2021-12-08T16:58:38Z,wHTcrmhskto
54,r u even turing complete?,PT39S,476296,25880,410,2021-12-07T17:32:47Z,UwrZkg6JOOU
55,C# in 100 Seconds,PT2M27S,760824,36687,1291,2021-12-06T15:35:20Z,ravLFzIguCM
56,HTML in 100 Seconds,PT2M34S,244519,16117,519,2021-12-03T16:04:56Z,ok-plXXHlWw
57,Web 1.0-beta,PT25S,325688,14749,167,2021-12-02T16:03:43Z,ZIv4hb_Swug
58,2022 is gonna be wild for developers...,PT11M20S,705435,49080,1870,2021-12-01T16:26:02Z,LOpFYMPXqE4
59,Haskell in 100 Seconds,PT2M30S,365932,18189,730,2021-11-29T15:28:29Z,Qa8IfEeBJqk
60,VS Code in 100 Seconds,PT2M34S,560248,30664,829,2021-11-26T14:35:23Z,KMxo3T_MTvY
61,Remix is a NEW JavaScript framework you MUST try,PT9M10S,354235,12914,699,2021-11-23T19:01:28Z,r4B69HAOXnA
62,Swift in 100 Seconds,PT2M25S,275013,15115,489,2021-11-22T14:24:10Z,nAchMctX4YA
63,Flutter Basic Training - 12 Minute Bootcamp,PT12M9S,211618,9763,339,2021-11-16T15:52:09Z,1xipg02Wu8s
64,WTF is a BÃ©zier Curve?,PT41S,464512,40430,286,2021-11-12T15:23:48Z,BThr1pb77Fo
65,C in 100 Seconds,PT2M25S,965504,52299,1807,2021-11-10T15:13:56Z,U3aXWizDbQ4
66,Shopify built a JS Framework // Hydrogen First Look,PT5M8S,253297,11117,550,2021-11-09T16:26:39Z,mAsM9c2sGjA
67,Kotlin in 100 Seconds,PT2M22S,440620,26613,902,2021-11-05T16:35:04Z,xT8oP0wy-A0
68,Java in 100 Seconds,PT2M25S,577172,43218,1427,2021-11-03T16:23:58Z,l9AzO1FMgM8
69,i quit using console.log in prod,PT39S,645164,37275,625,2021-11-02T16:07:55Z,o0v41bhlpi0
70,7 Cryptography Concepts EVERY Developer Should Know,PT11M55S,593123,29540,846,2021-11-01T16:38:39Z,NuyzuNBFWxQ
71,Make Money from your API Tutorial,PT13M10S,510228,23632,780,2021-10-28T17:07:02Z,MbqSMgMAzxU
72,Next.js 12 is a Beast,PT5M8S,555882,27017,924,2021-10-27T18:48:17Z,lRQ5z7i7pxE
73,WTF is an Abstract Syntax Tree?,PT36S,284085,16244,247,2021-10-26T15:01:56Z,mi6DoxNEN6w
74,Python in 100 Seconds,PT2M24S,919336,47492,1143,2021-10-25T15:19:28Z,x7X9w_GIm1s
75,PHP in 100 Seconds,PT2M21S,559782,31611,1257,2021-10-22T15:08:10Z,a7_WFUlFS94
76,Ultimate Tailwind CSS Tutorial // Build a Discord-inspired Animated Navbar,PT12M56S,436156,21595,761,2021-10-19T16:01:06Z,pfaSUYaSgRo
77,Auth0 in 100 Seconds // And beyond with a Next.js Authentication Tutorial,PT8M24S,179012,8683,227,2021-10-18T15:30:23Z,yufqeJLP1rI
78,It works on localhost,PT39S,636106,52245,599,2021-10-15T15:01:29Z,SlBOpNLFUC0
79,Dart in 100 Seconds,PT2M31S,332792,20432,519,2021-10-13T16:53:20Z,NrO0CJCbYLA
80,Rust in 100 Seconds,PT2M29S,618442,33873,1103,2021-10-12T15:24:43Z,5C_HPTJg5ek
81,Go in 100 Seconds,PT2M30S,598293,33291,907,2021-10-07T15:49:35Z,446E-r0rXHI
82,React Native vs Flutter - I built the same chat app with both,PT10M12S,762945,25992,1043,2021-10-04T14:58:18Z,X8ipUgXH6jw
83,React Native in 100 Seconds,PT2M17S,272932,18629,633,2021-09-28T15:56:21Z,gvkqT_Uoahw
84,Solidity in 100 Seconds,PT2M22S,267277,15132,425,2021-09-27T15:11:25Z,kdvVwGrV7ec
85,How to OVER Engineer a Website // What is a Tech Stack?,PT11M20S,989472,59390,2212,2021-09-24T14:41:18Z,Sxxw3qtb3_g
86,D3.js in 100 Seconds,PT2M20S,219037,17355,270,2021-09-21T17:04:07Z,bp2GF8XcJdY
87,Content Platforms Explained in 100 Seconds // Build your own with Sanity,PT24M20S,98002,4539,313,2021-09-20T17:54:07Z,c_8cplBi_gE
88,"How to ""Google It"" like a Senior Software Engineer",PT4M7S,897186,75449,1060,2021-09-16T14:58:44Z,cEBkvm0-rg0
89,Springy Animated Modals // Framer Motion & React Tutorial for Beginners,PT11M3S,152643,6522,200,2021-09-14T15:12:22Z,SuqU904ZHA4
90,Machine Learning Explained in 100 Seconds,PT2M35S,163547,12272,377,2021-09-09T17:31:56Z,PeMlggyqz0Y
91,13 Advanced (but useful) Git Techniques and Shortcuts,PT8M7S,500570,28388,1112,2021-09-07T16:57:28Z,ecK3EnyGD8o
92,PostCSS in 100 Seconds,PT2M13S,162203,10134,261,2021-09-02T16:52:51Z,WhCXiEwdU1A
93,I built a decentralized chat dapp // GUN web3 Tutorial,PT10M47S,343782,13806,558,2021-08-31T15:06:43Z,J5x3OMXjgMc
94,Tailwind in 100 Seconds,PT2M21S,323327,30487,838,2021-08-26T16:07:49Z,mr15Xzb1Ook
95,Awesome User Avatars Made Easy,PT42S,390202,30219,221,2021-08-24T14:56:45Z,TqnC96-nXAA
96,Bash in 100 Seconds,PT2M33S,629922,44109,839,2021-08-23T15:03:01Z,I4EWvMFj37g
97,Build a Curvaceous Homepage // Wavy Background Tutorial with SVG & CSS,PT11M43S,420671,24155,366,2021-08-19T17:23:52Z,lPJVi797Uy0
98,Reacting to Controversial Opinions of Software Engineers,PT9M18S,863340,43016,4275,2021-08-17T15:52:02Z,goy4lZfDtCE
99,I built the same app 10 times // Which JS Framework is best?,PT21M58S,1208159,52782,2811,2021-08-11T17:39:23Z,cuHDQhDhvPE
100,This weird skill helps you learn to code faster,PT40S,584612,35229,771,2021-08-05T15:47:35Z,BQBMbwfC6TY
101,The Decline of Firebase (bundle sizes) // New JavaScript SDK First Look,PT5M15S,124198,5899,200,2021-08-04T16:15:08Z,zd6ffqoK_EU
102,NestJS in 100 Seconds,PT2M21S,255675,15634,835,2021-07-30T14:30:00Z,0M8AYU_hPas
103,Terraform in 100 Seconds,PT2M18S,203944,12832,411,2021-07-28T15:00:26Z,tomUWcQ0P3k
104,Quick overview of CSS,PT33S,238454,19220,101,2021-07-27T14:51:32Z,OAuZGexox5s
105,7 Ways to Deploy a Node.js App,PT9M14S,229834,12185,382,2021-07-26T15:48:39Z,uEVmD6n8Il0
106,Astro in 100 Seconds,PT2M17S,178490,12943,422,2021-07-15T17:21:04Z,dsTXcSeAZq8
107,MongoDB in 100 Seconds,PT2M27S,370633,19485,822,2021-07-14T16:30:49Z,-bt_y4Loofg
108,"Why do computers use RGB for colors, and not RBY?",PT44S,2231628,129837,1402,2021-07-13T15:01:21Z,B1t4Fjlomi8
109,21+ Browser Dev Tools & Tips You Need To Know,PT9M26S,187751,15999,572,2021-07-12T14:48:54Z,TcTSqhpm80Y
110,Redis in 100 Seconds,PT2M26S,321182,19424,485,2021-07-08T15:17:57Z,G1rOthIU-uo
111,Is your memory leaking?,PT40S,217735,13489,243,2021-07-07T15:26:52Z,XQMVOoPZLYs
112,DNS Explained in 100 Seconds,PT2M16S,105392,9821,237,2021-07-06T15:03:54Z,UVR9lhUGAyU
113,The Truth about Github Copilot // AI Programming First Look,PT8M30S,739857,38049,3070,2021-06-30T16:02:37Z,4duqI8WyfqE
114,TypeScript is Literal Magic,PT26S,581541,37762,415,2021-06-29T15:26:21Z,5JqzCjg4YRU
115,Top 50+ AWS Services Explained in 10 Minutes,PT11M46S,684201,37740,901,2021-06-28T16:08:31Z,JIbIYCM48to
116,Google Sheetsâ€¦ Your Next Database?,PT7M16S,224281,9837,651,2021-06-23T17:59:55Z,K6Vcfm7TA5U
117,Build 5 Apps in 5 Minutes with Flutterâ€¦ But should you?,PT8M53S,381476,15568,618,2021-06-22T18:56:24Z,7JdcGBSWo50
118,God Tier HTML Programming,PT50S,920235,92215,849,2021-06-18T15:05:16Z,ZtyMdRzvi0w
119,Closures Explained in 100 Seconds // Tricky JavaScript Interview Prep,PT4M57S,175503,13670,337,2021-06-17T16:02:19Z,vKJpN5FAeF4
120,Why do computers suck at math?,PT54S,5476118,266942,2293,2021-06-15T16:42:46Z,s9F8pu5KfyM
121,25 VS Code Productivity Tips and Speed Hacks,PT11M35S,998493,50149,1650,2021-06-14T17:13:31Z,ifTF3ags0XI
122,Hasura in 100 Seconds,PT2M16S,172204,10537,342,2021-06-10T15:01:00Z,xiZ61BkMKo8
123,Async Await try-catch hell,PT46S,567596,37147,811,2021-06-08T14:54:34Z,ITogH7lJTyE
124,GUN Decentralized Graph DB in 100 Seconds,PT2M19S,105509,7073,526,2021-06-07T14:13:46Z,oTQXzhm8w_8
125,Test-Driven Development // Fun TDD Introduction with JavaScript,PT12M55S,293814,15221,336,2021-06-04T15:49:30Z,Jv2uxzhPFl4
126,Fullstack Development Iceberg #Shorts,PT40S,537592,31951,506,2021-05-25T14:24:59Z,JMWNYfPIF2U
127,Software Testing Explained in 100 Seconds,PT2M16S,127671,12050,282,2021-05-24T16:05:50Z,u6QfIXgjwGQ
128,Build a Mindblowing 3D Portfolio Website // Three.js Beginnerâ€™s Tutorial,PT15M38S,1288393,60936,1011,2021-05-21T16:36:40Z,Q7AOvWpIVHU
129,WebGL 3D Graphics Explained in 100 Seconds,PT2M7S,167099,11664,313,2021-05-12T16:28:04Z,f-9LEoYYvE4
130,How a CPU Works in 100 Seconds // Apple Silicon M1 vs Intel i9,PT12M44S,1240346,42369,1067,2021-05-06T16:37:54Z,vqs_0W-MSB0
131,Is Supabase Legit? Firebase Alternative Breakdown,PT8M16S,214333,9799,500,2021-04-29T15:04:51Z,WiwfiVdfRIc
132,Sass in 100 Seconds,PT2M31S,237135,18348,464,2021-04-27T15:36:41Z,akDIJa0AP5c
133,I've become my own Arch Enemy #shorts,PT31S,143965,11879,839,2021-04-25T18:27:51Z,epH4QvLUXlY
134,Ethical Hacking in 100 Seconds // And why do we need CORS?,PT11M5S,95887,5263,221,2021-04-20T15:11:38Z,v969_M6cWk0
135,How to use TypeScript with React... But should you?,PT6M36S,497364,19521,1062,2021-04-19T15:04:23Z,ydkQlJhodio
136,MySQL - The Basics // Learn SQL in 23 Easy Steps,PT17M17S,221446,11290,1141,2021-04-16T15:41:25Z,Cz3WcZLRaWc
137,3 More Life-Changing CSS Tips,PT2M59S,156595,12341,335,2021-04-14T16:42:39Z,JSURzPQnkl0
138,Svelte in 100 Seconds,PT2M12S,217268,12503,613,2021-04-13T16:18:52Z,rv3Yq-B8qp4
139,TODO: Write Good Code Comments #Shorts,PT49S,459138,29611,419,2021-04-10T15:17:45Z,kt0bfw4YkFk
140,"10 CSS Pro Tips - Code this, NOT that!",PT9M39S,978161,61678,1691,2021-04-09T14:20:29Z,Qhaz36TZG5Y
141,Easy Hand-Drawn SVG Animation #Shorts,PT42S,272923,27148,226,2021-04-07T15:29:03Z,LuWdeuPMHps
142,SQL Explained in 100 Seconds,PT2M23S,204268,12257,379,2021-04-06T14:47:25Z,zsjvFFKOm3c
143,Top 3 Ways to Center a DIV with CSS #Shorts,PT37S,936788,69271,722,2021-04-01T15:54:03Z,njdJeu95p6s
144,Get Paid with Crypto in your App // Coinbase Commerce Tutorial,PT8M2S,77720,3027,291,2021-03-31T17:19:53Z,sZif1kuAjcY
145,Delete node_modules like a Pro #Shorts,PT40S,325623,23649,570,2021-03-30T14:40:54Z,qOSH2pYg6m8
146,CORS in 100 Seconds,PT2M31S,330484,20736,521,2021-03-29T15:17:54Z,4KHiSt0oLJ0
147,Roko's Basilisk (skip this one) #Shorts,PT54S,60400,3026,180,2021-03-27T16:15:31Z,nKwIDjiyXnA
148,Make Awesome SVG Animations with CSS // 7 Useful Techniques,PT12M20S,484178,26891,375,2021-03-26T19:57:15Z,UTHgr6NLeEw
149,Reverse Engineer CSS Animations #Shorts,PT39S,658584,52438,436,2021-03-25T15:18:30Z,ecl-eCbYFPM
150,SVG Explained in 100 Seconds,PT2M20S,532463,32255,521,2021-03-24T17:09:49Z,emFMHH2Bfvo
